CustomerID,gasto_total,num_transacciones,ticket_promedio_cliente,rank,row_number
14646,280206.02,2076,134.97,1,1
18102,259657.3,431,602.45,2,2
17450,194550.79,337,577.3,3,3
16446,168472.5,3,56157.5,4,4
14911,143825.06,5675,25.34,5,5
12415,124914.53,714,174.95,6,6
14156,117379.63,1400,83.84,7,7
17511,91062.38,963,94.56,8,8
16029,81024.84,242,334.81,9,9
12346,77183.6,1,77183.6,10,10
16684,66653.56,277,240.63,11,11
14096,65164.79,5111,12.75,12,12
13694,65039.62,568,114.51,13,13
15311,60767.9,2379,25.54,14,14
13089,58825.83,1818,32.36,15,15
17949,58510.48,70,835.86,16,16
15769,56252.72,130,432.71,17,17
15061,54534.14,403,135.32,18,18
14298,51527.3,1637,31.48,19,19
14088,50491.81,589,85.72,20,20
15749,44534.3,10,4453.43,21,21
12931,42055.96,82,512.88,22,22
17841,40991.57,7847,5.22,23,23
15098,39916.5,3,13305.5,24,24
13798,37153.85,349,106.46,25,25
16013,37130.6,139,267.13,26,26
16422,34684.4,369,94.0,27,27
12748,33719.73,4595,7.34,28,28
15838,33643.08,167,201.46,29,29
17404,31906.82,198,161.15,30,30
17389,31833.68,213,149.45,31,31
13098,28882.44,572,50.49,32,32
14680,28754.11,258,111.45,33,33
13081,28337.38,1024,27.67,34,34
13408,28117.04,478,58.82,35,35
17857,26879.04,54,497.76,36,36
16333,26626.8,45,591.71,37,37
13777,25977.16,197,131.86,38,38
12753,21429.39,197,108.78,39,39
12744,21279.29,222,95.85,40,40
16210,21086.3,123,171.43,41,41
17675,20374.28,705,28.9,42,42
17381,20275.61,109,186.01,43,43
15039,19914.44,1502,13.26,44,44
12471,19824.05,460,43.1,45,45
12731,18895.91,274,68.96,46,46
15159,18641.01,710,26.25,47,47
12901,17654.54,116,152.19,48,48
12678,17628.46,165,106.84,49,49
14031,17286.86,250,69.15,50,50
17428,17256.85,328,52.61,51,51
13767,17220.36,368,46.79,52,52
13881,17159.52,178,96.4,53,53
16839,16594.35,266,62.38,54,54
12921,16587.09,720,23.04,55,55
14607,16569.5,86,192.67,56,56
15856,16387.57,645,25.41,57,57
17677,16363.23,304,53.83,58,58
15189,16225.39,212,76.53,59,59
14051,15610.39,210,74.34,60,60
15513,14758.22,308,47.92,61,61
16133,14589.04,338,43.16,62,62
14866,14389.9,99,145.35,63,63
16705,14034.99,270,51.98,64,64
12681,13787.54,638,21.61,65,65
12621,13689.67,467,29.31,66,66
12540,13400.24,478,28.03,67,67
12433,13375.87,420,31.85,68,68
15498,13316.4,512,26.01,69,69
12477,13219.74,300,44.07,70,70
17735,13110.02,690,19.0,71,71
16525,13027.45,183,71.19,72,72
14258,12669.98,111,114.14,73,73
13078,12627.94,358,35.27,74,74
12536,12601.83,261,48.28,75,75
15640,12515.66,484,25.86,76,76
16000,12393.7,9,1377.08,77,77
17340,12353.29,407,30.35,78,78
12682,12288.22,525,23.41,79,79
13113,12245.96,200,61.23,80,80
14606,12156.65,2700,4.5,81,81
12557,11990.96,33,363.36,82,82
12939,11581.8,47,246.42,83,83
15125,11528.48,127,90.78,84,84
